sample_id,image_path,oil_present,oil_thickness_mm
1,sar_train_0001.png,1,2.74
2,sar_train_0002.png,0,0.0
3,sar_train_0003.png,0,0.0
4,sar_train_0004.png,1,1.51
5,sar_train_0005.png,1,3.32
6,sar_train_0006.png,1,0.89
7,sar_train_0007.png,1,2.01
8,sar_train_0008.png,1,3.45
9,sar_train_0009.png,0,0.0
10,sar_train_0010.png,1,2.72
11,sar_train_0011.png,1,1.69
12,sar_train_0012.png,1,3.16
13,sar_train_0013.png,0,0.0
14,sar_train_0014.png,0,0.0
15,sar_train_0015.png,0,0.0
16,sar_train_0016.png,0,0.0
17,sar_train_0017.png,1,2.73
18,sar_train_0018.png,1,3.51
19,sar_train_0019.png,1,3.3
20,sar_train_0020.png,0,0.0
21,sar_train_0021.png,0,0.0
22,sar_train_0022.png,0,0.0
23,sar_train_0023.png,1,2.87
24,sar_train_0024.png,1,2.46
25,sar_train_0025.png,1,1.25
26,sar_train_0026.png,0,0.0
27,sar_train_0027.png,1,1.69
28,sar_train_0028.png,0,0.0
29,sar_train_0029.png,1,2.22
30,sar_train_0030.png,0,0.0
31,sar_train_0031.png,0,0.0
32,sar_train_0032.png,0,0.0
33,sar_train_0033.png,0,0.0
34,sar_train_0034.png,1,2.84
35,sar_train_0035.png,1,2.55
36,sar_train_0036.png,1,1.78
37,sar_train_0037.png,0,0.0
38,sar_train_0038.png,1,0.82
39,sar_train_0039.png,1,2.49
40,sar_train_0040.png,0,0.0
41,sar_train_0041.png,0,0.0
42,sar_train_0042.png,0,0.0
43,sar_train_0043.png,1,1.77
44,sar_train_0044.png,1,3.3
45,sar_train_0045.png,1,0.88
46,sar_train_0046.png,0,0.0
47,sar_train_0047.png,0,0.0
48,sar_train_0048.png,0,0.0
49,sar_train_0049.png,0,0.0
50,sar_train_0050.png,1,2.79
51,sar_train_0051.png,1,4.0
52,sar_train_0052.png,0,0.0
53,sar_train_0053.png,0,0.0
54,sar_train_0054.png,0,0.0
55,sar_train_0055.png,1,1.39
56,sar_train_0056.png,1,2.4
57,sar_train_0057.png,0,0.0
58,sar_train_0058.png,1,1.11
59,sar_train_0059.png,0,0.0
60,sar_train_0060.png,0,0.0
61,sar_train_0061.png,1,2.93
62,sar_train_0062.png,0,0.0
63,sar_train_0063.png,1,2.67
64,sar_train_0064.png,0,0.0
65,sar_train_0065.png,1,2.19
66,sar_train_0066.png,1,2.57
67,sar_train_0067.png,1,3.85
68,sar_train_0068.png,0,0.0
69,sar_train_0069.png,0,0.0
70,sar_train_0070.png,0,0.0
71,sar_train_0071.png,1,1.47
72,sar_train_0072.png,0,0.0
73,sar_train_0073.png,0,0.0
74,sar_train_0074.png,0,0.0
75,sar_train_0075.png,1,0.88
76,sar_train_0076.png,1,3.73
77,sar_train_0077.png,0,0.0
78,sar_train_0078.png,1,2.76
79,sar_train_0079.png,1,3.83
80,sar_train_0080.png,0,0.0
81,sar_train_0081.png,1,2.83
82,sar_train_0082.png,1,3.55
83,sar_train_0083.png,0,0.0
84,sar_train_0084.png,0,0.0
85,sar_train_0085.png,0,0.0
86,sar_train_0086.png,1,2.26
87,sar_train_0087.png,0,0.0
88,sar_train_0088.png,1,3.35
89,sar_train_0089.png,0,0.0
90,sar_train_0090.png,0,0.0
91,sar_train_0091.png,1,3.9
92,sar_train_0092.png,0,0.0
93,sar_train_0093.png,1,2.75
94,sar_train_0094.png,1,1.41
95,sar_train_0095.png,1,1.71
96,sar_train_0096.png,0,0.0
97,sar_train_0097.png,0,0.0
98,sar_train_0098.png,0,0.0
99,sar_train_0099.png,0,0.0
100,sar_train_0100.png,1,1.48
101,sar_train_0101.png,0,0.0
102,sar_train_0102.png,0,0.0
103,sar_train_0103.png,0,0.0
104,sar_train_0104.png,1,1.64
105,sar_train_0105.png,1,1.84
106,sar_train_0106.png,0,0.0
107,sar_train_0107.png,1,2.69
108,sar_train_0108.png,0,0.0
109,sar_train_0109.png,1,2.8
110,sar_train_0110.png,1,2.25
111,sar_train_0111.png,0,0.0
112,sar_train_0112.png,0,0.0
113,sar_train_0113.png,0,0.0
114,sar_train_0114.png,1,2.89
115,sar_train_0115.png,0,0.0
116,sar_train_0116.png,0,0.0
117,sar_train_0117.png,0,0.0
118,sar_train_0118.png,0,0.0
119,sar_train_0119.png,0,0.0
120,sar_train_0120.png,0,0.0
121,sar_train_0121.png,0,0.0
122,sar_train_0122.png,0,0.0
123,sar_train_0123.png,0,0.0
124,sar_train_0124.png,0,0.0
125,sar_train_0125.png,0,0.0
126,sar_train_0126.png,0,0.0
127,sar_train_0127.png,0,0.0
128,sar_train_0128.png,1,1.08
129,sar_train_0129.png,0,0.0
130,sar_train_0130.png,0,0.0
131,sar_train_0131.png,0,0.0
132,sar_train_0132.png,0,0.0
133,sar_train_0133.png,0,0.0
134,sar_train_0134.png,0,0.0
135,sar_train_0135.png,1,1.1
136,sar_train_0136.png,1,1.38
137,sar_train_0137.png,1,2.56
138,sar_train_0138.png,1,1.53
139,sar_train_0139.png,1,1.76
140,sar_train_0140.png,0,0.0
141,sar_train_0141.png,0,0.0
142,sar_train_0142.png,0,0.0
143,sar_train_0143.png,1,2.16
144,sar_train_0144.png,1,3.56
145,sar_train_0145.png,1,0.85
146,sar_train_0146.png,1,3.01
147,sar_train_0147.png,0,0.0
148,sar_train_0148.png,1,3.07
149,sar_train_0149.png,0,0.0
150,sar_train_0150.png,0,0.0
151,sar_train_0151.png,0,0.0
152,sar_train_0152.png,1,3.52
153,sar_train_0153.png,0,0.0
154,sar_train_0154.png,1,3.97
155,sar_train_0155.png,1,0.87
156,sar_train_0156.png,1,1.32
157,sar_train_0157.png,1,3.81
158,sar_train_0158.png,1,2.36
159,sar_train_0159.png,1,2.72
160,sar_train_0160.png,0,0.0
161,sar_train_0161.png,0,0.0
162,sar_train_0162.png,1,3.05
163,sar_train_0163.png,1,3.11
164,sar_train_0164.png,0,0.0
165,sar_train_0165.png,1,3.97
166,sar_train_0166.png,0,0.0
167,sar_train_0167.png,1,4.19
168,sar_train_0168.png,1,3.25
169,sar_train_0169.png,0,0.0
170,sar_train_0170.png,0,0.0
171,sar_train_0171.png,1,1.78
172,sar_train_0172.png,1,3.79
173,sar_train_0173.png,0,0.0
174,sar_train_0174.png,0,0.0
175,sar_train_0175.png,1,0.97
176,sar_train_0176.png,0,0.0
177,sar_train_0177.png,0,0.0
178,sar_train_0178.png,1,1.59
179,sar_train_0179.png,0,0.0
180,sar_train_0180.png,0,0.0
181,sar_train_0181.png,1,3.85
182,sar_train_0182.png,1,1.67
183,sar_train_0183.png,0,0.0
184,sar_train_0184.png,0,0.0
185,sar_train_0185.png,1,1.55
186,sar_train_0186.png,1,1.27
187,sar_train_0187.png,1,3.72
188,sar_train_0188.png,0,0.0
189,sar_train_0189.png,1,2.5
190,sar_train_0190.png,1,3.09
191,sar_train_0191.png,1,1.61
192,sar_train_0192.png,0,0.0
193,sar_train_0193.png,1,3.38
194,sar_train_0194.png,0,0.0
195,sar_train_0195.png,0,0.0
196,sar_train_0196.png,0,0.0
197,sar_train_0197.png,1,3.38
198,sar_train_0198.png,0,0.0
199,sar_train_0199.png,1,1.86
200,sar_train_0200.png,0,0.0
201,sar_train_0201.png,1,2.2
202,sar_train_0202.png,1,1.51
203,sar_train_0203.png,0,0.0
204,sar_train_0204.png,1,4.12
205,sar_train_0205.png,0,0.0
206,sar_train_0206.png,0,0.0
207,sar_train_0207.png,0,0.0
208,sar_train_0208.png,1,3.0
209,sar_train_0209.png,1,3.98
210,sar_train_0210.png,0,0.0
211,sar_train_0211.png,1,1.83
212,sar_train_0212.png,1,3.46
213,sar_train_0213.png,0,0.0
214,sar_train_0214.png,1,3.4
215,sar_train_0215.png,1,3.15
216,sar_train_0216.png,1,4.08
217,sar_train_0217.png,1,2.14
218,sar_train_0218.png,0,0.0
219,sar_train_0219.png,0,0.0
220,sar_train_0220.png,1,1.24
221,sar_train_0221.png,0,0.0
222,sar_train_0222.png,0,0.0
223,sar_train_0223.png,0,0.0
224,sar_train_0224.png,1,3.08
225,sar_train_0225.png,0,0.0
226,sar_train_0226.png,0,0.0
227,sar_train_0227.png,1,3.28
228,sar_train_0228.png,0,0.0
229,sar_train_0229.png,0,0.0
230,sar_train_0230.png,0,0.0
231,sar_train_0231.png,0,0.0
232,sar_train_0232.png,0,0.0
233,sar_train_0233.png,0,0.0
234,sar_train_0234.png,0,0.0
235,sar_train_0235.png,0,0.0
236,sar_train_0236.png,0,0.0
237,sar_train_0237.png,1,2.76
238,sar_train_0238.png,1,1.5
239,sar_train_0239.png,0,0.0
240,sar_train_0240.png,0,0.0
241,sar_train_0241.png,0,0.0
242,sar_train_0242.png,0,0.0
243,sar_train_0243.png,1,2.52
244,sar_train_0244.png,1,1.86
245,sar_train_0245.png,0,0.0
246,sar_train_0246.png,0,0.0
247,sar_train_0247.png,1,2.25
248,sar_train_0248.png,1,2.99
249,sar_train_0249.png,1,3.33
250,sar_train_0250.png,1,1.59
251,sar_train_0251.png,1,2.18
252,sar_train_0252.png,1,1.72
253,sar_train_0253.png,1,1.48
254,sar_train_0254.png,1,3.46
255,sar_train_0255.png,0,0.0
256,sar_train_0256.png,1,3.89
257,sar_train_0257.png,0,0.0
258,sar_train_0258.png,0,0.0
259,sar_train_0259.png,0,0.0
260,sar_train_0260.png,1,2.06
261,sar_train_0261.png,1,3.35
262,sar_train_0262.png,0,0.0
263,sar_train_0263.png,0,0.0
264,sar_train_0264.png,0,0.0
265,sar_train_0265.png,1,3.85
266,sar_train_0266.png,0,0.0
267,sar_train_0267.png,1,3.68
268,sar_train_0268.png,0,0.0
269,sar_train_0269.png,0,0.0
270,sar_train_0270.png,0,0.0
271,sar_train_0271.png,1,1.42
272,sar_train_0272.png,1,4.05
273,sar_train_0273.png,0,0.0
274,sar_train_0274.png,1,2.08
275,sar_train_0275.png,0,0.0
276,sar_train_0276.png,0,0.0
277,sar_train_0277.png,1,1.95
278,sar_train_0278.png,1,1.01
279,sar_train_0279.png,1,2.45
280,sar_train_0280.png,0,0.0
281,sar_train_0281.png,0,0.0
282,sar_train_0282.png,0,0.0
283,sar_train_0283.png,1,1.17
284,sar_train_0284.png,0,0.0
285,sar_train_0285.png,0,0.0
286,sar_train_0286.png,0,0.0
287,sar_train_0287.png,0,0.0
288,sar_train_0288.png,1,1.65
289,sar_train_0289.png,0,0.0
290,sar_train_0290.png,1,1.88
291,sar_train_0291.png,0,0.0
292,sar_train_0292.png,0,0.0
293,sar_train_0293.png,0,0.0
294,sar_train_0294.png,0,0.0
295,sar_train_0295.png,1,3.55
296,sar_train_0296.png,0,0.0
297,sar_train_0297.png,0,0.0
298,sar_train_0298.png,1,3.78
299,sar_train_0299.png,0,0.0
300,sar_train_0300.png,1,1.83
301,sar_train_0301.png,1,3.72
302,sar_train_0302.png,0,0.0
303,sar_train_0303.png,1,3.71
304,sar_train_0304.png,1,3.4
305,sar_train_0305.png,1,1.3
306,sar_train_0306.png,1,3.15
307,sar_train_0307.png,0,0.0
308,sar_train_0308.png,1,4.01
309,sar_train_0309.png,1,3.12
310,sar_train_0310.png,0,0.0
311,sar_train_0311.png,0,0.0
312,sar_train_0312.png,1,1.93
313,sar_train_0313.png,1,2.5
